Frame,Angle,Level
758,Close-up,Worm's Eye View
759,Close-up,Worm's Eye View
760,Close-up,Worm's Eye View
761,Close-up,Worm's Eye View
762,Close-up,Worm's Eye View
763,Close-up,Worm's Eye View
764,Close-up,Worm's Eye View
765,Close-up,Worm's Eye View
766,Close-up,Worm's Eye View
767,Close-up,High Angle
768,Close-up,Worm's Eye View
769,Close-up,Eye Level
770,Close-up,High Angle
771,Close-up,High Angle
772,Close-up,Eye Level
773,Close-up,Worm's Eye View
774,Close-up,Worm's Eye View
775,Close-up,Worm's Eye View
776,Close-up,Worm's Eye View
777,Close-up,Worm's Eye View
778,Close-up,Worm's Eye View
779,Close-up,Worm's Eye View
780,Close-up,Worm's Eye View
781,Close-up,Worm's Eye View
782,Close-up,Worm's Eye View
783,Close-up,Worm's Eye View
784,Close-up,Worm's Eye View
785,Close-up,Worm's Eye View
786,Close-up,Worm's Eye View
787,Close-up,Worm's Eye View
788,Close-up,Worm's Eye View
789,Close-up,Worm's Eye View
790,Close-up,Worm's Eye View
791,Close-up,Eye Level
792,Close-up,Worm's Eye View
793,Close-up,High Angle
794,Close-up,High Angle
795,Over-the-Shoulder,High Angle
796,Medium Shot,Worm's Eye View
797,Close-up,High Angle
798,Close-up,High Angle
799,Close-up,Worm's Eye View
800,Close-up,High Angle
801,Medium Shot,High Angle
802,Medium Shot,High Angle
803,Medium Shot,High Angle
804,Medium Shot,High Angle
805,Medium Shot,High Angle
806,Medium Shot,High Angle
807,Medium Shot,High Angle
808,Medium Shot,High Angle
809,Medium Shot,High Angle
810,Medium Shot,High Angle
811,Medium Shot,High Angle
812,Medium Shot,High Angle
813,Medium Shot,High Angle
814,Medium Shot,High Angle
815,Medium Shot,Worm's Eye View
816,Medium Shot,High Angle
817,Medium Shot,High Angle
818,Close-up,High Angle
819,Medium Shot,High Angle
820,Medium Shot,High Angle
821,Close-up,High Angle
822,Close-up,High Angle
823,Close-up,High Angle
824,Close-up,High Angle
825,Close-up,High Angle
826,Close-up,High Angle
827,Close-up,Worm's Eye View
828,Close-up,Worm's Eye View
829,Close-up,Worm's Eye View
830,Close-up,Worm's Eye View
831,Close-up,Worm's Eye View
832,Close-up,Worm's Eye View
833,Close-up,Worm's Eye View
834,Close-up,Worm's Eye View
835,Close-up,Worm's Eye View
836,Close-up,Worm's Eye View
837,Close-up,Worm's Eye View
838,Close-up,Worm's Eye View
839,Close-up,Worm's Eye View
840,Close-up,Worm's Eye View
841,Close-up,Worm's Eye View
842,Close-up,Worm's Eye View
843,Close-up,Worm's Eye View
844,Close-up,Worm's Eye View
845,Close-up,Worm's Eye View
846,Close-up,Worm's Eye View
847,Close-up,Worm's Eye View
848,Close-up,Worm's Eye View
849,Close-up,Worm's Eye View
850,Close-up,Worm's Eye View
851,Close-up,Worm's Eye View
852,Close-up,Worm's Eye View
853,Close-up,Worm's Eye View
854,Close-up,Worm's Eye View
855,Close-up,Worm's Eye View
856,Close-up,Worm's Eye View
857,Close-up,Worm's Eye View
858,Close-up,Worm's Eye View
859,Medium Shot,High Angle
860,Close-up,Worm's Eye View
861,Close-up,Worm's Eye View
862,Medium Shot,High Angle
863,Close-up,Eye Level
864,Close-up,Eye Level
865,Close-up,Eye Level
866,Medium Shot,Eye Level
867,Medium Shot,Eye Level
868,Medium Shot,Worm's Eye View
869,Medium Shot,Eye Level
870,Close-up,Eye Level
871,Close-up,Eye Level
872,Close-up,Dutch Tilt
873,Close-up,Dutch Tilt
874,Close-up,Dutch Tilt
875,Close-up,Dutch Tilt
876,Medium Shot,Worm's Eye View
877,Medium Shot,Dutch Tilt
878,Medium Shot,Worm's Eye View
879,Close-up,Dutch Tilt
880,Close-up,Worm's Eye View
881,Close-up,Worm's Eye View
882,Close-up,Worm's Eye View
883,Close-up,Worm's Eye View
884,Close-up,Worm's Eye View
885,Close-up,Worm's Eye View
886,Medium Shot,Worm's Eye View
887,Close-up,Worm's Eye View
888,Close-up,Worm's Eye View
889,Medium Shot,Worm's Eye View
890,Close-up,Eye Level
891,Close-up,Worm's Eye View
892,Medium Shot,Worm's Eye View
893,Medium Shot,High Angle
894,Medium Shot,High Angle
895,Medium Shot,Worm's Eye View
896,Medium Shot,Worm's Eye View
897,Medium Shot,Dutch Tilt
898,Medium Shot,High Angle
899,Medium Shot,High Angle
900,Medium Shot,High Angle
901,Medium Shot,High Angle
902,Medium Shot,High Angle
903,Medium Shot,Eye Level
904,Medium Shot,Eye Level
905,Medium Shot,Eye Level
906,Medium Shot,Eye Level
907,Medium Shot,Eye Level
908,Medium Shot,Eye Level
909,Close-up,Eye Level
910,Close-up,Eye Level
911,Close-up,Eye Level
912,Close-up,Eye Level
913,Medium Shot,High Angle
914,Medium Shot,High Angle
915,Medium Shot,High Angle
916,Medium Shot,Eye Level
917,Close-up,Eye Level
918,Medium Shot,High Angle
919,Medium Shot,High Angle
920,Medium Shot,High Angle
921,Over-the-Shoulder,High Angle
922,Medium Shot,Worm's Eye View
923,Medium Shot,High Angle
924,Medium Shot,High Angle
925,Medium Shot,Worm's Eye View
926,Medium Shot,High Angle
927,Medium Shot,High Angle
928,Medium Shot,High Angle
929,Medium Shot,High Angle
930,Medium Shot,High Angle
931,Medium Shot,Dutch Tilt
932,Medium Shot,Dutch Tilt
933,Medium Shot,Dutch Tilt
934,Medium Shot,Dutch Tilt
935,Medium Shot,Dutch Tilt
936,Medium Shot,Dutch Tilt
937,Medium Shot,Dutch Tilt
938,Medium Shot,Dutch Tilt
939,Medium Shot,Dutch Tilt
940,Medium Shot,Dutch Tilt
941,Medium Shot,Dutch Tilt
942,Medium Shot,Eye Level
943,Medium Shot,Eye Level
